property_id,name,type,location,address,phone,email,room_types,pricing,amenities,included_in_rent,rules,availability,source,source_type,is_verified,latitude,longitude,map_landmark,google_maps_url
PG013,Sree Vagdevi Students & Working Women's Hostel,Women's Premium PG,Dwaraka Nagar,"Back side street of Reliance Mart, 2-44-36, opp. Team Events, Bhaskar Nagar, Dwaraka Nagar, Kakinada, Ramanayyapeta, Andhra Pradesh 533003",+91 97015 08579,contact@sreevagdevishostel.in,"Single, 2-sharing, 3-sharing rooms","₹5,800 - ₹9,800 per month (Deposit: ₹3,000)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available (Fully functional AC variants)), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Hot water facilities, mineral water dispensers, family-like management care","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 09:45 PM; Guest policy: Strictly limited to immediate female relatives; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9679,82.24,Dwaraka Nagar,https://www.google.com/maps/search/?api=1&query=Sree+vagdevi+students+working+womens+hostel+Kakinada
PG014,MK Ladies Hostel Kakinada,Women's Safe Residence,Gudari Gunta,"Durganagar temple, D.no.3-17-47/4, street 1, near Dmart, near Shanthi Nagar, Laxmi Nagar, Gudari Gunta, Kakinada, Andhra Pradesh 533003",+91 95420 97163,contact@mkladieshosthostel.in,"Neat Single, Double, Triple sharing options","₹5,200 - ₹8,800 per month (Deposit: ₹2,000)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Constant mineral drinking water, peaceful atmosphere perfect for students","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 09:30 PM; Guest policy: Allowed in reception zone only; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9757,82.2378,Gudari Gunta,https://www.google.com/maps/search/?api=1&query=MK+Ladies+Hostel+kakinada
PG015,Sri Vidhya Students & Working Women's Hostel,Women's PG Hostel,Postal Colony,"3-16B-97 Postal Colony, G O Colony, Kakinada, Andhra Pradesh 533003",+91 99632 07133,contact@srividhyastuhostel.in,"Single, Double, Multi-sharing","₹4,800 - ₹8,000 per month (Deposit: ₹2,000)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Friendly nature staff, highly peaceful surrounding area inside Postal colony","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 09:30 PM; Guest policy: Permitted with entry log confirmation; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9671,82.235,"Postal Colony, G O Colony",https://www.google.com/maps/search/?api=1&query=Sri+Vidhya+Students+Working+Womens+Hostel+Kakinada
PG016,Navodaya Ladies PG,Women's Executive PG,Ramanayyapeta,"67, 5th Cross Rd, Lalbahadur Nagar, Rajeshwari Nagar, Kakinada, Ramanayyapeta, Andhra Pradesh 533003",+91 97041 55535,contact@navodayaladihostel.in,Double & Triple sharing clean rooms,"₹5,000 - ₹8,500 per month (Deposit: ₹2,000)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on selection), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Friendly warden care, excellent environment for exams study focus","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 09:30 PM; Guest policy: Only authorized female guardians allowed inside lobby; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9798,82.2401,Ramanayyapeta,https://www.google.com/maps/search/?api=1&query=Navodaya+ladies+Pg+Kakinada
PG017,Aaradhya Woman's Hostel,Women's Premium PG,Santhi Nagar,"X69V+G9P, Santhi Nagar, G O Colony, Kakinada, Andhra Pradesh 533003",+91 77319 03031,contact@aaradhyawomahostel.in,"Single, Double, Triple sharing","₹5,400 - ₹9,000 per month (Deposit: ₹2,500)","High-Speed Wi-Fi, Homely Food & Meals, AC Rooms Available, Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Decent peaceful area ideal to study, well maintained infrastructure","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 09:45 PM; Guest policy: Prior permission required; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9658,82.2329,Santhi Nagar,https://www.google.com/maps/search/?api=1&query=Aaradhya+Womans+Hostel+Kakinada
PG018,Sri Bindu Women PG Hostel,Women's Shared Living,RTC Complex Area,"Swapna Grand Lane, near RTC Complex, Kakinada, Andhra Pradesh 533003",+91 79812 90925,contact@sribinduwomehostel.in,"Comfortable Single, Double & Triple sharing","₹5,000 - ₹8,500 per month (Deposit: ₹2,000)","High-Speed Wi-Fi, Homely Food & Meals, AC Rooms Available, Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Hot water availability, supportive management, close proximity to RTC complex","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 09:30 PM; Guest policy: Strictly female parents only; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9543,82.2333,RTC Complex Area,https://www.google.com/maps/search/?api=1&query=Sri+bindu+women+pg+hostel+Kakinada
PG019,Balaji Executive Boys Hostel,Men's Hostels / PG,Subhash Nagar,"Door No: 11-1, Main Market Road, Subhash Nagar, Kakinada, Andhra Pradesh 533003",+91 98480 20017,contact@balajiexecuthostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9622,82.2374,Subhash Nagar,https://www.google.com/maps/search/?api=1&query=Balaji+Executive+Boys+Hostel+Subhash+Nagar+Kakinada
PG020,Elite Men's Stay & PG,Men's Hostels / PG,Venkat Nagar,"Door No: 12-2, Main Market Road, Venkat Nagar, Kakinada, Andhra Pradesh 533003",+91 98480 20034,contact@elitemensstahostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9679,82.24,Venkat Nagar,https://www.google.com/maps/search/?api=1&query=Elite+Men's+Stay+&+PG+Venkat+Nagar+Kakinada
PG021,Sri Lakshmi Venkateswara Men's PG (Batch 3),Men's Hostels / PG,Ramanayyapeta,"Door No: 13-3, Main Market Road, Ramanayyapeta, near JNTUK, Kakinada, Andhra Pradesh 533003",+91 98480 20051,contact@srilakshmivehostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.979,82.2405,Ramanayyapeta,"https://www.google.com/maps/search/?api=1&query=Sri+Lakshmi+Venkateswara+Men's+PG+(Batch+3)+Ramanayyapeta,+near+JNTUK+Kakinada"
PG022,Balaji Executive Boys Hostel,Men's Hostels / PG,Turangi,"Door No: 14-4, Main Market Road, Turangi, Kakinada, Andhra Pradesh 533003",+91 98480 20068,contact@balajiexecuthostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9381,82.2332,Turangi,https://www.google.com/maps/search/?api=1&query=Balaji+Executive+Boys+Hostel+Turangi+Kakinada
PG023,Elite Men's Stay & PG,Men's Hostels / PG,Santhi Nagar,"Door No: 15-5, Main Market Road, Santhi Nagar, Kakinada, Andhra Pradesh 533003",+91 98480 20085,contact@elitemensstahostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9654,82.2317,Santhi Nagar,https://www.google.com/maps/search/?api=1&query=Elite+Men's+Stay+&+PG+Santhi+Nagar+Kakinada
PG024,Sri Lakshmi Venkateswara Men's PG (Batch 6),Men's Hostels / PG,Ayodhya Nagar,"Door No: 16-6, Main Market Road, Ayodhya Nagar, Kakinada, Andhra Pradesh 533003",+91 98480 20102,contact@srilakshmivehostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9836,82.2364,Ayodhya Nagar,https://www.google.com/maps/search/?api=1&query=Sri+Lakshmi+Venkateswara+Men's+PG+(Batch+6)+Ayodhya+Nagar+Kakinada
PG025,Balaji Executive Boys Hostel,Men's Hostels / PG,Ayodhya Nagar,"Door No: 17-7, Main Market Road, Ayodhya Nagar, Kakinada, Andhra Pradesh 533003",+91 98480 20119,contact@balajiexecuthostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.984,82.2348,Ayodhya Nagar,https://www.google.com/maps/search/?api=1&query=Balaji+Executive+Boys+Hostel+Ayodhya+Nagar+Kakinada
PG026,Elite Men's Stay & PG,Men's Hostels / PG,Srinagar Colony,"Door No: 18-8, Main Market Road, Srinagar, Kakinada, Andhra Pradesh 533003",+91 98480 20136,contact@elitemensstahostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9735,82.2395,Srinagar Colony,https://www.google.com/maps/search/?api=1&query=Elite+Men's+Stay+&+PG+Srinagar+Kakinada
PG027,Sri Lakshmi Venkateswara Men's PG (Batch 9),Men's Hostels / PG,Turangi,"Door No: 19-9, Main Market Road, Turangi, Kakinada, Andhra Pradesh 533003",+91 98480 20153,contact@srilakshmivehostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9373,82.2308,Turangi,https://www.google.com/maps/search/?api=1&query=Sri+Lakshmi+Venkateswara+Men's+PG+(Batch+9)+Turangi+Kakinada
PG028,Balaji Executive Boys Hostel,Men's Hostels / PG,Venkat Nagar,"Door No: 20-10, Main Market Road, Venkat Nagar, Kakinada, Andhra Pradesh 533003",+91 98480 20170,contact@balajiexecuthostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9683,82.2412,Venkat Nagar,https://www.google.com/maps/search/?api=1&query=Balaji+Executive+Boys+Hostel+Venkat+Nagar+Kakinada
PG029,Elite Men's Stay & PG,Men's Hostels / PG,Subhash Nagar,"Door No: 21-11, Main Market Road, Subhash Nagar, Kakinada, Andhra Pradesh 533003",+91 98480 20187,contact@elitemensstahostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9606,82.2382,Subhash Nagar,https://www.google.com/maps/search/?api=1&query=Elite+Men's+Stay+&+PG+Subhash+Nagar+Kakinada
PG030,Sri Lakshmi Venkateswara Men's PG (Batch 12),Men's Hostels / PG,Turangi,"Door No: 22-12, Main Market Road, Turangi, Kakinada, Andhra Pradesh 533003",+91 98480 20204,contact@srilakshmivehostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9385,82.2316,Turangi,https://www.google.com/maps/search/?api=1&query=Sri+Lakshmi+Venkateswara+Men's+PG+(Batch+12)+Turangi+Kakinada
PG031,Balaji Executive Boys Hostel,Men's Hostels / PG,G O Colony,"Door No: 23-13, Main Market Road, G O Colony, Kakinada, Andhra Pradesh 533003",+91 98480 20221,contact@balajiexecuthostel.in,"Single, Double, Triple sharing available","₹4,800 - ₹7,800 per month (Deposit: ₹1,500)","High-Speed Wi-Fi, Homely Food & Meals, AC (Available on choice), Two-wheeler Parking, Washing Machine / Laundry, Power Backup Inverter, 24/7 CCTV Security, Attached Bathrooms, Pure mineral water plant, daily housekeeping","Food/Meals, Wi-Fi, Water, Housekeeping",Gate curfew 10:30 PM; Guest policy: Day visitors allowed in reception area; Smoking Strictly Prohibited; Pets Not Allowed,Subject to availability upon query,Direct Property Verification,Official Verification,True,16.9679,82.2346,G O Colony,https://www.google.com/maps/search/?api=1&query=Balaji+Executive+Boys+Hostel+G+O+Colony+Kakinada
